modelo,mes,Mediana_F1,q025,q975
M1_logistica,1,0.2349,0.2065,0.2655
M1_logistica,2,0.2242,0.1964,0.2541
M1_logistica,3,0.1979,0.1706,0.2264
M1_logistica,4,0.2296,0.2009,0.2593
M1_logistica,5,0.265,0.2353,0.295
M1_logistica,6,0.253,0.2241,0.2839
M1_logistica,7,0.216,0.1868,0.2466
M1_logistica,8,0.2174,0.1875,0.2502
M1_logistica,9,0.2044,0.1746,0.2356
M1_logistica,10,0.2424,0.2128,0.272
M1_logistica,11,0.2598,0.2304,0.2904
M1_logistica,12,0.2061,0.1782,0.2359
M1_logistica,13,0.2291,0.1738,0.2879
M1_logistica,14,0.3181,0.2641,0.3739
M1_logistica,15,0.3147,0.2624,0.3694
M1_logistica,16,0.3092,0.2582,0.367
M1_logistica,17,0.2676,0.2199,0.3188
M1_logistica,18,0.2368,0.1888,0.2885
M2_random_forest,1,0.2462,0.2181,0.2752
M2_random_forest,2,0.2761,0.2472,0.3064
M2_random_forest,3,0.2227,0.1947,0.2519
M2_random_forest,4,0.2673,0.2384,0.2975
M2_random_forest,5,0.2942,0.2639,0.3239
M2_random_forest,6,0.2901,0.261,0.3217
M2_random_forest,7,0.2621,0.2311,0.2942
M2_random_forest,8,0.2599,0.2281,0.2929
M2_random_forest,9,0.2398,0.2103,0.2715
M2_random_forest,10,0.2873,0.2573,0.3172
M2_random_forest,11,0.2749,0.2462,0.3043
M2_random_forest,12,0.2439,0.2152,0.2742
M2_random_forest,13,0.2147,0.1662,0.271
M2_random_forest,14,0.358,0.3026,0.4139
M2_random_forest,15,0.3209,0.2714,0.3752
M2_random_forest,16,0.3258,0.2759,0.3782
M2_random_forest,17,0.3088,0.2601,0.3589
M2_random_forest,18,0.2976,0.2508,0.3488
M3_gbm_completo,1,0.875,0.8508,0.8964
M3_gbm_completo,2,0.896,0.8746,0.9158
M3_gbm_completo,3,0.8502,0.8238,0.8738
M3_gbm_completo,4,0.8974,0.8752,0.917
M3_gbm_completo,5,0.8513,0.8261,0.8744
M3_gbm_completo,6,0.8714,0.8469,0.8939
M3_gbm_completo,7,0.8562,0.8289,0.8813
M3_gbm_completo,8,0.866,0.8394,0.8908
M3_gbm_completo,9,0.8862,0.8617,0.9083
M3_gbm_completo,10,0.8702,0.8458,0.892
M3_gbm_completo,11,0.8667,0.8418,0.8881
M3_gbm_completo,12,0.8781,0.8537,0.9003
M3_gbm_completo,13,0.6694,0.5964,0.7365
M3_gbm_completo,14,0.6293,0.5629,0.6904
M3_gbm_completo,15,0.3978,0.326,0.4715
M3_gbm_completo,16,0.1811,0.1203,0.2499
M3_gbm_completo,17,0.1059,0.0621,0.1605
M3_gbm_completo,18,0.0345,0.0114,0.0738
M4_gbm_moderado,1,0.2424,0.2156,0.2703
M4_gbm_moderado,2,0.2549,0.2267,0.2833
M4_gbm_moderado,3,0.2241,0.1973,0.2522
M4_gbm_moderado,4,0.2457,0.2192,0.2745
M4_gbm_moderado,5,0.2872,0.2582,0.3162
M4_gbm_moderado,6,0.2645,0.2359,0.2934
M4_gbm_moderado,7,0.2392,0.2103,0.2685
M4_gbm_moderado,8,0.2434,0.2138,0.2746
M4_gbm_moderado,9,0.2185,0.1903,0.2474
M4_gbm_moderado,10,0.2715,0.2431,0.3016
M4_gbm_moderado,11,0.2576,0.2294,0.2862
M4_gbm_moderado,12,0.2356,0.2075,0.2642
M4_gbm_moderado,13,0.2111,0.1637,0.2647
M4_gbm_moderado,14,0.3466,0.2943,0.4019
M4_gbm_moderado,15,0.314,0.2658,0.3644
M4_gbm_moderado,16,0.3223,0.2744,0.3724
M4_gbm_moderado,17,0.3315,0.284,0.3827
M4_gbm_moderado,18,0.3089,0.2624,0.3575
M5_naive_bayes,1,0.1864,0.1608,0.2132
M5_naive_bayes,2,0.2034,0.1782,0.2313
M5_naive_bayes,3,0.1805,0.1556,0.2082
M5_naive_bayes,4,0.2037,0.1778,0.2315
M5_naive_bayes,5,0.2236,0.1974,0.2522
M5_naive_bayes,6,0.2224,0.1952,0.2502
M5_naive_bayes,7,0.1954,0.1676,0.2235
M5_naive_bayes,8,0.1918,0.1639,0.2217
M5_naive_bayes,9,0.1819,0.1555,0.2106
M5_naive_bayes,10,0.2071,0.1813,0.2355
M5_naive_bayes,11,0.2154,0.1897,0.2421
M5_naive_bayes,12,0.1688,0.1438,0.1959
M5_naive_bayes,13,0.1666,0.122,0.2186
M5_naive_bayes,14,0.2385,0.1912,0.2893
M5_naive_bayes,15,0.2603,0.2132,0.3091
M5_naive_bayes,16,0.2789,0.2314,0.3298
M5_naive_bayes,17,0.2064,0.1651,0.2526
M5_naive_bayes,18,0.1973,0.1551,0.2419
